Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
CAT EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:49 UTC,2h 59m,Not in Transit,Other Passenger,PASSENGER SHIPS
CHRISTOPHER,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:35 UTC,1h 6m,Not in Transit,Other Passenger,PASSENGER SHIPS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:28 UTC,4h 50m,Not in Transit,Tug,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:22 UTC,1h 44m,Not in Transit,Other Special Craft,OTHER MARKETS
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:15 UTC,1h 39m,Not in Transit,High Speed Craft,PASSENGER SHIPS
BIG BLUE,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:39 UTC,38m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:08 UTC,1h ,Not in Transit,Other Passenger,PASSENGER SHIPS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:00 UTC,39m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:46 UTC,3h 17m,Not in Transit,Tug,SUPPORTING VESSELS
TOWBOAT US AVALON,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:21 UTC,54m,Not in Transit,Other Special Craft,OTHER MARKETS
SEASCAPE,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:10 UTC,1h 2m,In Transit,Other Pleasure Craft,PLEASURE CRAFT
CHRISTOPHER,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:07 UTC,51m,Not in Transit,Other Passenger,PASSENGER SHIPS
MONTE CARLO,DEPARTURE,Port,LOS ANGELES,2021-11-14 20:55 UTC,52m,Not in Transit,Other Fishing,FISHING
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-14 20:15 UTC,1h 39m,Not in Transit,Tug,SUPPORTING VESSELS
ELIZABETH C,DEPARTURE,Port,LOS ANGELES,2021-11-14 20:00 UTC,4h 37m,Not in Transit,Tug,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:51 UTC,13m,Not in Transit,Tug,SUPPORTING VESSELS
PILOT BOAT ORION,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:27 UTC,1h 42m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:19 UTC,17m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BALTIMORE,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:16 UTC,1h 41m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 17:45 UTC,2h 51m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-14 16:57 UTC,1h 50m,Not in Transit,Tug,SUPPORTING VESSELS
CABRILLO,DEPARTURE,Port,LOS ANGELES,2021-11-14 16:26 UTC,1h 49m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-14 15:59 UTC,59m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-14 15:20 UTC,3h 10m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-14 14:57 UTC,1h 39m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 14:36 UTC,34m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-14 14:25 UTC,1h 47m,Not in Transit,Tug,SUPPORTING VESSELS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:59 UTC,1h 51m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:44 UTC,12m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:10 UTC,2h 13m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:47 UTC,28m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:47 UTC,1h 17m,Not in Transit,Other Special Craft,OTHER MARKETS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:34 UTC,1h 35m,Not in Transit,Tug,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:24 UTC,1h 44m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-14 10:43 UTC,1h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 07:02 UTC,14m,Not in Transit,Other Special Craft,OTHER MARKETS
GEM,DEPARTURE,Port,LOS ANGELES,2021-11-14 06:13 UTC,1h 53m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 04:27 UTC,1h 23m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-14 03:18 UTC,4h 43m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-14 03:04 UTC,1h 25m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:59 UTC,53m,Not in Transit,Other Special Craft,OTHER MARKETS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:54 UTC,1h 14m,Not in Transit,Tug,SUPPORTING VESSELS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:54 UTC,1h 17m,Not in Transit,Other Special Craft,OTHER MARKETS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:54 UTC,39m,Not in Transit,Other Passenger,PASSENGER SHIPS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:52 UTC,4h 17m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:49 UTC,1h 9m,Not in Transit,Tug,SUPPORTING VESSELS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:48 UTC,4h 5m,Not in Transit,Tug,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-14 01:48 UTC,1h 58m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-14 01:25 UTC,3h 37m,Not in Transit,Other Special Craft,OTHER MARKETS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:50 UTC,1h 4m,Not in Transit,Other Passenger,PASSENGER SHIPS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:37 UTC,2h 34m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:34 UTC,2h 45m,Not in Transit,Other Special Craft,OTHER MARKETS
CAT EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:19 UTC,4h 52m,Not in Transit,Other Passenger,PASSENGER SHIPS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-14 23:18 UTC,5h 45m,Not in Transit,Tug,SUPPORTING VESSELS
SABALO,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:28 UTC,5h 21m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 20:15 UTC,12h 46m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-14 15:58 UTC,5h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
PACIFIC STAR,DEPARTURE,Port,LOS ANGELES,2021-11-14 15:22 UTC,13h 56m,Not in Transit,Other Special Craft,OTHER MARKETS
MAGICIAN,DEPARTURE,Port,LOS ANGELES,2021-11-14 14:53 UTC,13h 37m,Not in Transit,Other Passenger,PASSENGER SHIPS
MONTE CARLO,DEPARTURE,Port,LOS ANGELES,2021-11-14 14:52 UTC,12h 50m,Not in Transit,Other Fishing,FISHING
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:15 UTC,10h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-14 11:59 UTC,8h 56m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-14 09:19 UTC,10h 44m,Not in Transit,Tug,SUPPORTING VESSELS
HERCULES,DEPARTURE,Port,LOS ANGELES,2021-11-14 09:15 UTC,6h 46m,Not in Transit,Other Special Craft,OTHER MARKETS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-14 07:14 UTC,6h 29m,Not in Transit,Other Special Craft,OTHER MARKETS
MAJESTIC PRINCESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:49 UTC,11h 36m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:08 UTC,1d 6h 10m,Not in Transit,Other Passenger,PASSENGER SHIPS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-14 22:01 UTC,18h 54m,Not in Transit,Other Special Craft,OTHER MARKETS
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:39 UTC,20h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:25 UTC,21h 15m,Not in Transit,Other Special Craft,OTHER MARKETS
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 19:05 UTC,17h 15m,Not in Transit,High Speed Craft,PASSENGER SHIPS
CHRISTOPHER,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:34 UTC,17h 29m,Not in Transit,Other Passenger,PASSENGER SHIPS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-14 17:05 UTC,22h 46m,Not in Transit,Tug,SUPPORTING VESSELS
CAT EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-14 17:04 UTC,14h 1m,Not in Transit,Other Passenger,PASSENGER SHIPS
FERRIGNO BOY,DEPARTURE,Port,LOS ANGELES,2021-11-14 15:02 UTC,1d 23h 14m,Not in Transit,Fishing Vessel,FISHING
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:14 UTC,23h 29m,Not in Transit,Tug,SUPPORTING VESSELS
HYUNDAI PRESTIGE,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:23 UTC,1d 4h 54m,Not in Transit,Container Ship,CONTAINER SHIPS
NANCY PETERKIN,DEPARTURE,Port,LOS ANGELES,2021-11-14 10:42 UTC,18h 24m,Not in Transit,Tug,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-14 10:24 UTC,16h 48m,Not in Transit,Other Special Craft,OTHER MARKETS
YM TRIUMPH,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:51 UTC,15h 28m,Not in Transit,Container Ship,CONTAINER SHIPS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:01 UTC,20h 3m,Not in Transit,Other Special Craft,OTHER MARKETS
LAPPD BOAT 40,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:46 UTC,4d 2h 20m,Not in Transit,Other Special Craft,OTHER MARKETS
CAPE BLANCO,DEPARTURE,Port,LOS ANGELES,2021-11-14 21:27 UTC,2d 8h 9m,Not in Transit,Fishing Vessel,FISHING
NEW STELLA,DEPARTURE,Port,LOS ANGELES,2021-11-14 19:35 UTC,5d 6h 4m,Not in Transit,Other Fishing,FISHING
LA REE,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:56 UTC,15d 1h 15m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
ZORYANA,DEPARTURE,Port,LOS ANGELES,2021-11-14 18:01 UTC,23d 17h 53m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
SABALO,DEPARTURE,Port,LOS ANGELES,2021-11-14 16:52 UTC,8d 2h 11m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
ALWAYS RIGHT,DEPARTURE,Port,LOS ANGELES,2021-11-14 13:54 UTC,13d 13h 13m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
COMBI DOCK I,DEPARTURE,Port,LOS ANGELES,2021-11-14 12:50 UTC,2d 8h 14m,Not in Transit,Heavy Load Carrier,DRY BREAKBULK
GEM,DEPARTURE,Port,LOS ANGELES,2021-11-14 04:18 UTC,4d 11h 18m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
NYK MARIA,DEPARTURE,Port,LOS ANGELES,2021-11-14 02:58 UTC,2d 3h 13m,Not in Transit,Container Ship,CONTAINER SHIPS
LAPPD BOAT 39,DEPARTURE,Port,LOS ANGELES,2021-11-14 00:47 UTC,2d 22h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
LA ESPADA,DEPARTURE,Port,LOS ANGELES,2021-11-15 23:33 UTC,4h 13m,Not in Transit,Other Passenger,PASSENGER SHIPS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-15 23:17 UTC,2h 20m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-15 23:17 UTC,2h 31m,Not in Transit,Other Special Craft,OTHER MARKETS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-15 22:30 UTC,16m,Not in Transit,Other Passenger,PASSENGER SHIPS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-15 22:10 UTC,1h 58m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-15 22:09 UTC,1h 52m,Not in Transit,Other Special Craft,OTHER MARKETS
PATRICK,DEPARTURE,Port,LOS ANGELES,2021-11-15 22:05 UTC,2h 56m,Not in Transit,Supply Vessel,SUPPORTING VESSELS
VICKI ANN,DEPARTURE,Port,LOS ANGELES,2021-11-15 21:05 UTC,2h 12m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-15 20:46 UTC,3h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 20:46 UTC,19m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-15 20:38 UTC,21m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-15 17:59 UTC,3h 10m,Not in Transit,Tug,SUPPORTING VESSELS
PILOT BOAT POLARIS 3,DEPARTURE,Port,LOS ANGELES,2021-11-15 17:32 UTC,47m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-15 17:18 UTC,1h 26m,Not in Transit,Crew Boat,SUPPORTING VESSELS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-15 17:06 UTC,2h 2m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
AH DUNNO,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:47 UTC,39m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:37 UTC,1h 57m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:36 UTC,1h 34m,Not in Transit,Tug,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:57 UTC,41m,Not in Transit,Other Special Craft,OTHER MARKETS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:45 UTC,2h 15m,Not in Transit,Tug,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:40 UTC,1h 30m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:19 UTC,3h 30m,Not in Transit,Other Special Craft,OTHER MARKETS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-15 14:58 UTC,43m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 14:28 UTC,30m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-15 14:09 UTC,2h 21m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 13:41 UTC,2h 23m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:13 UTC,4h 29m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-15 10:15 UTC,1h 59m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:57 UTC,2h 11m,Not in Transit,Tug,SUPPORTING VESSELS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:33 UTC,3h 49m,Not in Transit,Other Special Craft,OTHER MARKETS
ELDORADO,DEPARTURE,Port,LOS ANGELES,2021-11-15 03:12 UTC,59m,Not in Transit,Other Passenger,PASSENGER SHIPS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-15 02:59 UTC,41m,Not in Transit,Other Passenger,PASSENGER SHIPS
SABALO,DEPARTURE,Port,LOS ANGELES,2021-11-15 02:40 UTC,45m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
SABALO,DEPARTURE,Port,LOS ANGELES,2021-11-15 01:08 UTC,12m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:50 UTC,1h 20m,Not in Transit,Tug,SUPPORTING VESSELS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:45 UTC,1h 3m,Not in Transit,Other Passenger,PASSENGER SHIPS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:44 UTC,1h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-15 21:40 UTC,7h 44m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 20:04 UTC,5h 17m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
CHELSEA MARIE,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:47 UTC,6h 1m,Not in Transit,Other Fishing,FISHING
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-15 13:19 UTC,10h 56m,Not in Transit,Other Special Craft,OTHER MARKETS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:09 UTC,6h 27m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:57 UTC,5h 12m,Not in Transit,Tug,SUPPORTING VESSELS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:05 UTC,5h 23m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BALTIMORE,DEPARTURE,Port,LOS ANGELES,2021-11-15 03:16 UTC,6h 25m,Not in Transit,Tug,SUPPORTING VESSELS
NORWEGIAN BLISS,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:39 UTC,10h 48m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:39 UTC,6h 1m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-15 23:18 UTC,15h 5m,Not in Transit,Tug,SUPPORTING VESSELS
CAPE BLANCO,DEPARTURE,Port,LOS ANGELES,2021-11-15 20:58 UTC,22h 53m,Not in Transit,Fishing Vessel,FISHING
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-15 19:12 UTC,1d 9h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-15 18:26 UTC,16h 37m,Not in Transit,High Speed Craft,PASSENGER SHIPS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-15 17:33 UTC,17h 29m,Not in Transit,Other Passenger,PASSENGER SHIPS
LAPPD BOAT 40,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:49 UTC,18h 47m,Not in Transit,Other Special Craft,OTHER MARKETS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:44 UTC,18h 40m,Not in Transit,Other Special Craft,OTHER MARKETS
MISS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-15 16:06 UTC,17h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:09 UTC,14h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
VICKI ANN,DEPARTURE,Port,LOS ANGELES,2021-11-15 15:08 UTC,1d 19h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-15 13:22 UTC,1d 12h 2m,Not in Transit,Crew Boat,SUPPORTING VESSELS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:34 UTC,22h 16m,Not in Transit,Tug,SUPPORTING VESSELS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:20 UTC,20h 30m,Not in Transit,Tug,SUPPORTING VESSELS
BW EAGLE,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:17 UTC,1d 21h 30m,Not in Transit,Oil/Chemical Tanker,WET BULK
HERCULES,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:17 UTC,20h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-15 11:16 UTC,1d 23h 15m,Not in Transit,Tug,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:49 UTC,18h 49m,Not in Transit,Other Special Craft,OTHER MARKETS
WESTERDAM,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:32 UTC,16h 16m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
RUBY PRINCESS,DEPARTURE,Port,LOS ANGELES,2021-11-15 06:04 UTC,16h 24m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-15 00:14 UTC,1d 1h 56m,Not in Transit,Tug,SUPPORTING VESSELS
ST KATHERINE,DEPARTURE,Port,LOS ANGELES,2021-11-15 21:41 UTC,2d 10h 6m,Not in Transit,Other Fishing,FISHING
